train_loss,train_recon_loss,train_kl_loss,val_loss,val_recon_loss,val_kl_loss
84.2866032409668,84.2866032409668,464.9327740478516,77.02044442983774,77.02044442983774,346.8552504319411
74.93882293701172,74.93882293701172,580.4468762207031,73.62465726412259,73.62465726412259,338.75379356971155
71.4840673828125,71.4840673828125,589.2499084472656,67.83004966148964,67.83004966148964,347.38269981971155
66.8935157775879,66.8935157775879,606.0250036621094,61.991587712214546,61.991587712214546,356.28482759915863
61.355112380981446,61.355112380981446,629.6198278808594,57.305520864633415,57.305520864633415,365.9276076096755
52.71648078918457,52.71648078918457,642.53787109375,47.70413941603441,47.70413941603441,372.86961716871997
44.22756759643555,44.22756759643555,672.7141821289063,41.85550337571364,41.85550337571364,388.35340998722955
39.179043197631835,39.179043197631835,702.6562158203125,39.642957834097054,39.642957834097054,406.4202411358173
35.67549495697021,35.67549495697021,722.2022265625,35.59948378342848,35.59948378342848,416.6449232835036
32.98414554595947,32.98414554595947,730.5501220703125,35.162491431603065,35.162491431603065,434.39564162034253
36.056622924804685,32.06495475769043,299.3750952148437,35.96494762714092,32.2836352128249,276.0984285794772
36.736474685668945,30.678314247131347,227.18101806640624,38.18484526414137,31.033095433161808,268.19061279296875
38.17736328125,30.01634895324707,204.0253643798828,41.125778491680435,30.557050411517803,264.2182147686298
39.673141937255856,29.658078994750976,187.78242584228516,43.99999149029072,31.06846178494967,242.46616891714243
41.27444595336914,29.732313804626465,173.1319692993164,46.90994468102088,30.804116615882286,241.58741056002103
42.590516815185545,29.655972785949707,161.6818063354492,48.17547343327449,29.83175776554988,229.29644423264725
43.921909942626954,29.80040599822998,151.30182861328126,49.196978055513824,27.104613817655125,236.70389967698318
45.204128646850585,30.136912574768065,141.25515014648437,53.08518453744742,28.531244131234978,230.1931868333083
46.42017692565918,30.47054225921631,132.9136215209961,55.341087047870346,27.238262469951923,234.1902090219351
47.374413299560544,30.850763397216795,123.92736679077149,56.40377602210412,27.23049105130709,218.79962627704327
48.40747619628906,31.39388759613037,116.0017478942871,60.66962256798377,27.524160678570087,225.99179429274338
49.36675338745117,31.808959236145018,109.73621520996093,62.7677723811223,26.864652193509617,224.3945054274339
50.21321548461914,32.313147354125974,103.26962326049805,64.38628856952374,26.015996052668644,221.3670689509465
51.17218101501465,32.77192108154297,98.57281951904297,64.9105946467473,26.91004591721755,203.5743631216196
51.89774566650391,33.63948425292969,91.29130569458007,68.50448549710788,27.035028751079853,207.34728064903845
51.70150856018066,33.284319648742674,92.08594345092773,69.59468665489784,25.773884553175705,219.10400390625
51.11955688476562,32.841745262146,91.38905563354493,68.58065032958984,25.52666165278508,215.26993971604568
50.66964485168457,32.56936740875244,90.50138595581055,68.62584392841046,25.174156482403095,217.25842989408054
50.044864349365234,31.98969264984131,90.27585769653321,65.610231252817,24.312454370351936,206.48887869027945
49.48306541442871,31.575516052246094,89.537744140625,67.39204230675331,24.159087547889122,216.16476792555588
48.87492721557617,30.94169147491455,89.66617630004883,66.71040285550632,23.21318068871131,217.48610511192908
48.469009170532225,30.52827907562256,89.70364837646484,66.026366013747,23.3453862116887,213.40489548903244
47.879303817749026,30.16749496459961,88.55904251098633,64.41213930570163,21.4605042384221,214.75817166841946
47.261218566894534,29.57940860748291,88.4090478515625,64.29296581561749,21.783758897047775,212.54603341909555
46.63789627075195,28.9518119430542,88.43041915893555,65.79764674260066,20.92845344543457,224.3459672194261
46.0932999420166,28.335305709838867,88.78996871948242,63.866865598238434,20.722930908203125,215.71967022235577
