family,num_seeds,seeds,amp_skipped_steps_total_mean,amp_skipped_steps_total_std,amp_skipped_steps_total_median,geometry_test_cross_gap_spearman_mean,geometry_test_cross_gap_spearman_std,geometry_test_cross_gap_spearman_median,geometry_test_spearman_mean,geometry_test_spearman_std,geometry_test_spearman_median,gradient_norm_epoch_mean_mean,gradient_norm_epoch_mean_std,gradient_norm_epoch_mean_median,gradient_norm_epoch_q90_mean_mean,gradient_norm_epoch_q90_mean_std,gradient_norm_epoch_q90_mean_median,gradient_norm_max_mean,gradient_norm_max_std,gradient_norm_max_median,initial_kl_mean_mean,initial_kl_mean_std,initial_kl_mean_median,initial_kl_median_mean,initial_kl_median_std,initial_kl_median_median,initial_kl_q95_mean,initial_kl_q95_std,initial_kl_q95_median,interpolation_interior_pixel_mse_mean,interpolation_interior_pixel_mse_std,interpolation_interior_pixel_mse_median,interpolation_interior_psnr_db_mean,interpolation_interior_psnr_db_std,interpolation_interior_psnr_db_median,interpolation_interior_ssim_mean,interpolation_interior_ssim_std,interpolation_interior_ssim_median,nonfinite_count_mean,nonfinite_count_std,nonfinite_count_median,peak_cuda_memory_bytes_mean,peak_cuda_memory_bytes_std,peak_cuda_memory_bytes_median,pose_test_gap_mean_error_degrees_mean,pose_test_gap_mean_error_degrees_std,pose_test_gap_mean_error_degrees_median,pose_test_gap_median_error_degrees_mean,pose_test_gap_median_error_degrees_std,pose_test_gap_median_error_degrees_median,pose_test_gap_q90_error_degrees_mean,pose_test_gap_q90_error_degrees_std,pose_test_gap_q90_error_degrees_median,pose_test_observed_mean_error_degrees_mean,pose_test_observed_mean_error_degrees_std,pose_test_observed_mean_error_degrees_median,posterior_scale_mean_mean,posterior_scale_mean_std,posterior_scale_mean_median,posterior_scale_median_mean,posterior_scale_median_std,posterior_scale_median_median,posterior_scale_q95_mean,posterior_scale_q95_std,posterior_scale_q95_median,selected_epoch_mean,selected_epoch_std,selected_epoch_median,test_gap_pixel_mse_mean,test_gap_pixel_mse_std,test_gap_pixel_mse_median,test_gap_psnr_db_mean,test_gap_psnr_db_std,test_gap_psnr_db_median,test_gap_reconstruction_nll_mean,test_gap_reconstruction_nll_std,test_gap_reconstruction_nll_median,test_gap_ssim_mean,test_gap_ssim_std,test_gap_ssim_median,test_kl_mean_mean,test_kl_mean_std,test_kl_mean_median,test_kl_median_mean,test_kl_median_std,test_kl_median_median,test_kl_q95_mean,test_kl_q95_std,test_kl_q95_median,test_observed_pixel_mse_mean,test_observed_pixel_mse_std,test_observed_pixel_mse_median,test_observed_psnr_db_mean,test_observed_psnr_db_std,test_observed_psnr_db_median,test_observed_reconstruction_nll_mean,test_observed_reconstruction_nll_std,test_observed_reconstruction_nll_median,test_observed_ssim_mean,test_observed_ssim_std,test_observed_ssim_median,trainable_parameters_mean,trainable_parameters_std,trainable_parameters_median,wall_clock_training_s_mean,wall_clock_training_s_std,wall_clock_training_s_median,expected_cosine_to_mode_mean,expected_cosine_to_mode_std,expected_cosine_to_mode_median,opposite_hemisphere_fraction_mean,opposite_hemisphere_fraction_std,opposite_hemisphere_fraction_median,spcauchy_direct_retained_terms_mean,spcauchy_direct_retained_terms_std,spcauchy_direct_retained_terms_median
gaussian_isotropic,5,0 1 2 3 4,0.0,0.0,0.0,-0.20286037718371697,0.008415120041405088,-0.20395703674199603,-0.05442630790872825,0.009390573567600273,-0.054947966518169654,2607.496946888643,402.19576116793985,2540.2053644260436,5014.132377368164,805.6076274836693,4783.942916870118,48761.9546875,15427.561108091124,59158.9921875,0.002841828170494409,0.0006437902205861248,0.002682304656445922,0.0028079607989639046,0.0006488153242178311,0.0026706422213464975,0.003505152610596269,0.0006624558970863939,0.003286370285786688,0.008552834374094986,6.0684367083925286e-05,0.008556332362182999,22.02072285662757,0.06312058809331372,22.02373824490441,0.7120543638821001,0.002131949466278661,0.7121688367260827,0.0,0.0,0.0,418102784.0,0.0,418102784.0,151.69358551210829,0.832784427524009,151.8706424384647,157.02984161376952,1.385940764088376,156.71402740478516,175.54671875,0.3643996270173999,175.5761215209961,68.17066771420129,0.6741916393816172,68.19550999571702,0.10073782203935179,0.00911630566932865,0.10031332661462909,0.0962171271443367,0.008737670866070803,0.09586910158395767,0.15514192402362822,0.01707239134626325,0.16166765987873072,31.6,3.7815340802378072,31.0,0.0033816749226523958,5.4064288095462094e-05,0.0033903249763642196,26.00315301789178,0.06796295481345963,26.0107874750208,173.14175599649218,2.7680914900233207,173.5846386743475,0.8016044034229385,0.004658036432029562,0.8014778259838069,68.70961701057968,1.94487409482274,68.40685740247184,69.30252456665039,2.001031894451727,69.0968132019043,80.91968765258788,1.8077370459609419,80.74144630432129,0.00287740787037737,4.477519521737172e-05,0.0028836119634967185,26.636271097052035,0.08211954420662687,26.637507822450505,147.32328296816792,2.292489962598346,147.64093258403597,0.8211223143194087,0.005019559061096346,0.8213463344523516,6354274.0,0.0,6354274.0,387.28969664420003,0.4816437535902116,387.5187327039894,,,,,,,,,
powerspherical,5,0 1 2 3 4,0.0,0.0,0.0,-0.1523294654162791,0.006892340636753133,-0.15691747305690923,-0.014336399224838602,0.004500519443106659,-0.01382794555658723,2987.053255134133,172.93178606080548,3030.9445389204257,4674.062859619141,295.016891064426,4608.7491317138665,54692.9203125,11898.209833532603,51213.8203125,0.09999561309814453,0.0,0.09999561309814453,0.09999561309814453,0.0,0.09999561309814453,0.09999561309814453,0.0,0.09999561309814453,0.008388406751425161,0.00014283419626556112,0.008375573511369078,22.090528189871048,0.051366508704060516,22.076952809404442,0.7099680037862725,0.002690455498717171,0.70956768816268,0.0,0.0,0.0,418167808.0,0.0,418167808.0,148.1133303840425,0.9481134737664834,147.7946107286877,154.0764953613281,0.9292922822259068,154.27320861816406,175.05611724853517,0.3612164677246613,175.16516571044923,69.3131475948529,0.4491662633305462,69.17013941436572,5166.919993814602,270.9091277354414,5117.557518986204,4686.48203125,318.2965865329152,4613.75830078125,9946.788369140624,75.2888566316142,10000.001953125,37.8,9.47100839404126,33.0,0.0025411142061337296,5.301874873136805e-05,0.0025274375436398528,27.206387903001573,0.10270595252093963,27.209137323520803,130.10504731153557,2.7145599973202414,129.40480218322188,0.8241863863556473,0.005451235391890537,0.8253253776828448,69.1152341439204,0.950803054447952,68.75660046487188,69.17799682617188,1.0763061100481186,68.95944213867188,81.16514038085937,0.12185493646436403,81.25119018554688,0.0021960268361505032,4.215693882580747e-05,0.0021783331724649995,27.807868819726206,0.11990892633015734,27.823384403652614,112.436574013927,2.1584352581756483,111.53065846029413,0.8420495651884684,0.0058781171274675924,0.8429796026087312,6354787.0,0.0,6354787.0,430.2693501570029,0.43985642899574595,430.52843963797204,0.9923594030921842,0.0005263611432931617,0.9921993518170016,0.0,0.0,0.0,,,
spcauchy,5,0 1 2 3 4,0.0,0.0,0.0,-0.15196991220531425,0.0026719759653604834,-0.15244676419564243,-0.01833560433821861,0.005100884015382299,-0.015797861331564085,3159.954170571976,120.06283946148129,3141.850890746557,4804.455138208008,205.02156082972104,4770.456723144531,72643.64375,27935.8980792904,69647.1875,14.23953338265419,31.616957743770296,0.10000003129243851,14.279387384653091,31.70607400141525,0.10000003129243851,16.69289942383766,37.10285098554608,0.10000003129243851,0.008357302274089307,0.00011981014393677195,0.008379669580802633,22.12286207679466,0.0629220343960183,22.094229182843808,0.7102593984857754,0.0029910832454809713,0.7100593574841817,0.0,0.0,0.0,418168320.0,0.0,418168320.0,146.7582345531428,0.9001103806834935,146.38967924047398,153.06770858764648,1.2047557002424298,152.85111236572266,175.10516998291016,0.44808040463375115,175.21034393310546,69.39988455479923,0.5872295401096188,69.55983192974416,0.8993434177215207,0.004574067705758014,0.8997900386258898,0.9016683757305145,0.004686964135047488,0.9027349650859833,0.9358725738525391,0.003292245068210939,0.9354835212230682,31.4,3.9115214431215892,33.0,0.0024003580293221467,2.0556561563114065e-05,0.002398713657430899,27.412187221315172,0.06749769172887168,27.397984228487367,122.8983310880661,1.0524959188369114,122.81413924747044,0.8261544203846544,0.002861508532221873,0.8266931539222047,72.40253172754359,1.5247063829744596,72.63939717516487,72.22051162719727,1.6026316837533139,72.55599212646484,86.42096504211426,1.6985394867495442,86.18751831054688,0.0020737477953121667,1.7163708137105813e-05,0.0020751673177118097,28.015040988498264,0.051171474759592474,28.017105025437775,106.17588711902073,0.8787818380953112,106.24856663678689,0.8435786516716871,0.0027356472323009514,0.8439651448922183,6354787.0,0.0,6354787.0,310.5199857005966,173.58888205075704,388.579323871003,,,,0.0,0.0,0.0,15.0,0.0,15.0
vmf_robust,5,0 1 2 3 4,0.0,0.0,0.0,-0.15102126490953913,0.005104589828979212,-0.14854901657470065,-0.015515545600425737,0.006614338615533054,-0.017870817045235222,2980.073679669805,102.96062795652846,3001.3989520763753,4633.830946655274,191.2523492553066,4753.51259375,58177.465625,6748.7551458667485,58894.68359375,0.10000133514404297,0.0,0.10000133514404297,0.10000133514404297,0.0,0.10000133514404297,0.10000133514404297,0.0,0.10000133514404297,0.008253045721210247,0.00015977455502319275,0.008300031871266482,22.17213654005969,0.06197539291775083,22.201357891118086,0.7112971000947333,0.0025589155644353753,0.7101504589893199,0.0,0.0,0.0,418209280.0,0.0,418209280.0,147.7327952158363,0.9975899310400723,148.09414208871348,153.72169799804686,0.9152723279966029,153.53872680664062,174.8394110107422,0.13943823426600394,174.78572998046874,69.04063810270772,0.8932366781377763,69.30223864913302,2981.9635589953764,335.2789570589005,2983.057726275911,2685.4056640625,365.61660190571365,2675.847412109375,5776.783056640625,434.44668158455266,5819.02548828125,33.4,7.436396977031283,31.0,0.0024911683699055747,2.1533243753121537e-05,0.0024908946732197096,27.276668909708658,0.0619983814173896,27.286533546800968,127.54782052280285,1.1025020831071057,127.5338072600188,0.8240568366116947,0.0038531060023568394,0.8238495186081639,71.18592995474859,2.04931762886479,71.1909724080906,71.19603881835937,2.206397237943678,71.25961303710938,83.48667846679687,1.2442685229616774,83.64091186523437,0.0021550043506850243,9.38306052961078e-06,0.0021557469363462935,27.86595548288658,0.05994549183427564,27.857722703943807,110.33622274038527,0.4804126928800933,110.37424314145689,0.841778360283564,0.004113984819536273,0.8414376584846507,6354787.0,0.0,6354787.0,515.8167050148128,0.3383517913087053,515.9887857270078,0.9932446944100376,0.0009744259055911131,0.9932313092353413,0.0,0.0,0.0,,,
