family,seed,run_dir,selected_epoch,wall_clock_training_s,peak_cuda_memory_bytes,trainable_parameters,initial_kl_mean,initial_kl_median,initial_kl_q95,spcauchy_direct_retained_terms,test_gap_reconstruction_nll,test_gap_pixel_mse,test_gap_psnr_db,test_gap_ssim,test_observed_reconstruction_nll,test_observed_pixel_mse,test_observed_psnr_db,test_observed_ssim,test_kl_mean,test_kl_median,test_kl_q95,posterior_scale_mean,posterior_scale_median,posterior_scale_q95,expected_cosine_to_mode,opposite_hemisphere_fraction,gradient_norm_epoch_mean,gradient_norm_epoch_q90_mean,gradient_norm_max,amp_skipped_steps_total,nonfinite_count,pose_test_observed_mean_error_degrees,pose_test_gap_mean_error_degrees,pose_test_gap_median_error_degrees,pose_test_gap_q90_error_degrees,geometry_test_spearman,geometry_test_cross_gap_spearman,interpolation_interior_pixel_mse,interpolation_interior_psnr_db,interpolation_interior_ssim
gaussian_isotropic,0,experiments/smallnorb/runs/final/lower_beta_slow_lr_b025_w30_s020/gaussian_isotropic/seed_0,26,387.65654964599526,418102784,6354274,0.0024491441281497828,0.0023730499669909477,0.003087441297248006,,173.5846386743475,0.0033903249763642196,25.9711978509691,0.7947228108070514,148.30902330585258,0.0028966606128652873,26.565859647579295,0.8140369798928973,71.91785739804492,72.39704132080078,83.24139518737792,0.08648747584073509,0.08362705260515213,0.12745096683502197,,,3076.7415677456897,5983.7069814453125,61122.95703125,0,0,67.64765721618666,152.21173059463501,157.73757934570312,175.5761215209961,-0.068792462379002,-0.21018060317191725,0.008456980906091673,22.100470608075458,0.7118672746751044
gaussian_isotropic,1,experiments/smallnorb/runs/final/lower_beta_slow_lr_b025_w30_s020/gaussian_isotropic/seed_1,36,387.5964773899759,418102784,6354274,0.0038254945593507728,0.003786874935030937,0.0044070774689316744,,172.02714327600268,0.003359905140419465,26.076406960663974,0.8075607558091481,145.73270578253207,0.002846341910094476,26.739889568752712,0.8279673372595399,66.79950098171156,66.92522430419922,78.30980148315429,0.10991268656810615,0.10729840025305748,0.16351251527667046,,,2229.4306181450847,4316.812857543947,32364.140625,0,0,69.12017453381368,151.8706424384647,156.71402740478516,175.96876220703126,-0.04874186299885425,-0.20395703674199603,0.008556332362182999,22.02238522494281,0.7139522139286554
gaussian_isotropic,2,experiments/smallnorb/runs/final/lower_beta_slow_lr_b025_w30_s020/gaussian_isotropic/seed_2,34,387.18431214400334,418102784,6354274,0.003083010647969786,0.0030709189595654607,0.0039573931950144465,,174.0114546998342,0.0033986612282158736,26.052283495443838,0.8014778259838069,147.64093258403597,0.0028836119634967185,26.69214232449809,0.8213463344523516,67.66341276804606,68.49188995361328,80.54904441833496,0.10735255766368697,0.10048005357384682,0.1716529369354248,,,2221.984579996061,4246.168100708008,31403.84375,0,0,68.19550999571702,151.01746383260797,155.44813537597656,175.0503387451172,-0.04384929709729029,-0.19096945963438963,0.008549050499978303,22.033288937321416,0.7121688367260827
gaussian_isotropic,3,experiments/smallnorb/runs/final/lower_beta_slow_lr_b025_w30_s020/gaussian_isotropic/seed_3,31,386.4924113370362,418102784,6354274,0.002682304656445922,0.0026706422213464975,0.003286370285786688,,169.27217199396205,0.0033060971083479535,26.0107874750208,0.8034313850601514,144.5191417262163,0.002822639485360702,26.637507822450505,0.8224864231152509,68.76045650262401,69.0968132019043,81.75675086975097,0.09962306350960162,0.09586910158395767,0.15142554119229315,,,2969.122604130336,5740.031030273438,59759.83984375,0,0,68.46488488036765,150.67981091905523,156.2331314086914,175.34031829833984,-0.054947966518169654,-0.21096293484302978,0.008622052821576492,21.923731267893757,0.7086054944992065
gaussian_isotropic,4,experiments/smallnorb/runs/final/lower_beta_slow_lr_b025_w30_s020/gaussian_isotropic/seed_4,31,387.5187327039894,418102784,6354274,0.002169186860555783,0.0021383179118856788,0.0027874808060005304,,176.81337133831448,0.003453386159914468,25.90508930736118,0.8008292394545343,150.4146114422026,0.002937785380069664,26.545956121979568,0.8197744968770042,68.40685740247184,69.60165405273438,80.74144630432129,0.10031332661462909,0.0938110277056694,0.16166765987873072,,,2540.2053644260436,4783.942916870118,59158.9921875,0,0,67.42511194492144,152.68827977577845,159.0163345336914,175.79805297851564,-0.05579995055032508,-0.19823185152725215,0.008579755280645461,22.02373824490441,0.7136779995814517
powerspherical,0,experiments/smallnorb/runs/final/lower_beta_slow_lr_b025_w30_s020/powerspherical/seed_0,53,430.52843963797204,418167808,6354787,0.09999561309814453,0.09999561309814453,0.09999561309814453,,127.29770577730956,0.002486283318861819,27.32947958804943,0.8307998131160382,109.94332967238451,0.0021473306578236925,27.95698198490042,0.8494542449302774,68.75660046487188,68.78500366210938,81.25119018554688,5117.557518986204,4563.430419921875,10000.001953125,0.9920632983725748,0.0,3185.9940650837357,5007.329685302735,42292.44140625,0,0,68.86584157749853,147.7946107286877,154.27320861816406,175.16516571044923,-0.011107227077210059,-0.1427324876884962,0.008362055880963993,22.099656541965626,0.711856947844779
powerspherical,1,experiments/smallnorb/runs/final/lower_beta_slow_lr_b025_w30_s020/powerspherical/seed_1,30,429.9482993800193,418167808,6354787,0.09999561309814453,0.09999561309814453,0.09999561309814453,,133.56613780869378,0.002608713628099024,27.09481340761538,0.8176070759473023,114.74239376658485,0.002241062378306336,27.69635694766171,0.8351465906604888,69.91212526172276,69.80172729492188,81.25119018554688,5353.538986283918,4865.846435546875,10000.001953125,0.9928980748937944,0.0,2737.5647115268225,4337.411958374024,45514.59765625,0,0,69.89948538165264,148.8506311833417,154.2695083618164,175.17613830566407,-0.01455924349191649,-0.15691747305690923,0.008515082712159104,22.038592022613244,0.7065744578948727
powerspherical,2,experiments/smallnorb/runs/final/lower_beta_slow_lr_b025_w30_s020/powerspherical/seed_2,41,430.6635526379687,418167808,6354787,0.09999561309814453,0.09999561309814453,0.09999561309814453,,127.9924576416722,0.002499852689167407,27.284355398107458,0.8274633631662086,111.29743275935057,0.0021737779832242438,27.884246123682253,0.8454470131731537,67.93220307777939,67.75021362304688,81.07999877929687,4830.816353616597,4274.857666015625,9893.763574218749,0.9917259636043031,0.0,3030.9445389204257,4608.7491317138665,68271.3359375,0,0,68.96680592119458,149.3145451284338,154.96450805664062,175.08806610107422,-0.0104322478549084,-0.14724989022610213,0.008170200001040939,22.173490022553338,0.7133592462208536
powerspherical,3,experiments/smallnorb/runs/final/lower_beta_slow_lr_b025_w30_s020/powerspherical/seed_3,32,430.54657257703366,418167808,6354787,0.09999561309814453,0.09999561309814453,0.09999561309814453,,132.2641331467805,0.002583283850900544,27.1141537977148,0.8197363018658426,114.66905541102092,0.0022396299889332447,27.67837463873404,0.837220374569691,70.25428445698303,70.59359741210938,81.25119018554688,5514.907403692551,5114.517333984375,10000.001953125,0.9929103267732471,0.0,3079.4068481150384,4950.396968017578,66172.40625,0,0,69.66346567955301,147.61623887132714,154.37930297851562,175.40546569824218,-0.01382794555658723,-0.1576688525878673,0.008375573511369078,22.076952809404442,0.70956768816268
powerspherical,4,experiments/smallnorb/runs/final/lower_beta_slow_lr_b025_w30_s020/powerspherical/seed_4,33,429.6598865520209,418167808,6354787,0.09999561309814453,0.09999561309814453,0.09999561309814453,,129.40480218322188,0.0025274375436398528,27.209137323520803,0.8253253776828448,111.53065846029413,0.0021783331724649995,27.823384403652614,0.8429796026087312,68.72095745824492,68.95944213867188,80.99213256835937,5017.779706493739,4613.75830078125,9840.172412109374,0.9921993518170016,0.0,2901.356112024643,4466.426554687499,51213.8203125,0,0,69.17013941436572,146.99062600842228,152.4959487915039,174.4457504272461,-0.02175533214357083,-0.15707862352202065,0.00851912165159269,22.06394955281858,0.7084816788081769
spcauchy,0,experiments/smallnorb/runs/final/lower_beta_slow_lr_b025_w30_s020/spcauchy/seed_0,29,386.4096814469667,418168320,6354787,0.10000003129243851,0.10000003129243851,0.10000003129243851,15,121.96299191262987,0.0023820896846074094,27.397984228487367,0.8266931539222047,105.2887938200229,0.002056421753414537,28.017105025437775,0.8439651448922183,72.63939717516487,72.55599212646484,87.48528060913085,0.8997900386258898,0.9027349650859833,0.9379736661911011,,0.0,3326.0847492032085,5069.776872314454,69647.1875,0,0,69.88828421344991,146.29433343322188,151.48151397705078,174.7124252319336,-0.024543035278698132,-0.15244676419564243,0.008467747418148468,22.04971535364787,0.7078580739873427
spcauchy,1,experiments/smallnorb/runs/final/lower_beta_slow_lr_b025_w30_s020/spcauchy/seed_1,33,388.8410068889498,418168320,6354787,0.10000003129243851,0.10000003129243851,0.10000003129243851,15,121.80623902497469,0.0023790281065157615,27.51389452934265,0.8279794821915804,105.35019234526094,0.0020576209442877266,28.0758608895761,0.8445496371719572,73.0315509516712,72.81875610351562,86.18751831054688,0.9017008646795288,0.9034961760044098,0.9354835212230682,,0.0,3037.331258180762,4660.716708984375,74513.890625,0,0,69.02913035373534,147.13592975404526,153.99659729003906,175.21034393310546,-0.015178691826108452,-0.1529804491058989,0.008246729954127525,22.176790227006983,0.7129554610395873
spcauchy,2,experiments/smallnorb/runs/final/lower_beta_slow_lr_b025_w30_s020/spcauchy/seed_2,36,388.76991394604556,418168320,6354787,0.10000003129243851,0.10000003129243851,0.10000003129243851,15,123.70224789849034,0.002416059529118852,27.426213391268696,0.8286767687510561,106.62847483549169,0.0020825873990319905,28.035671436067613,0.8464439356484741,70.83245841163667,70.71200942993164,84.31998443603516,0.8947978230317434,0.8972285687923431,0.931728932261467,,0.0,3141.850890746557,4770.456723144531,48681.90234375,0,0,69.94637974575053,146.38967924047398,152.85111236572266,174.61860046386718,-0.015797861331564085,-0.1507925196498862,0.00821920601710897,22.19976571648209,0.7135815234427099
spcauchy,3,experiments/smallnorb/runs/final/lower_beta_slow_lr_b025_w30_s020/spcauchy/seed_3,33,388.579323871003,418168320,6354787,0.10000003129243851,0.10000003129243851,0.10000003129243851,15,124.20603735676518,0.002425899168937812,27.395529887587937,0.8260386214432893,107.36340795754126,0.002096941562114769,28.011084702002307,0.8438877205495481,71.003329850813,70.58924102783203,85.45412063598633,0.8949343863387167,0.8968515396118164,0.9340335875749588,,0.0,3232.028665532986,4950.514680786133,118506.6328125,0,0,68.57579653131623,148.13533251868353,154.50419235229492,175.7174041748047,-0.013129157709569957,-0.15541178403078465,0.008379669580802633,22.094229182843808,0.7100593574841817
spcauchy,4,experiments/smallnorb/runs/final/lower_beta_slow_lr_b025_w30_s020/spcauchy/seed_4,26,2.3500178940594196e-06,418168320,6354787,70.7976667881012,70.9969367980957,83.06449699401854,15,122.81413924747044,0.002398713657430899,27.32731406988921,0.8213840756151412,106.24856663678689,0.0020751673177118097,27.935482889407528,0.839046820096238,74.50592224843217,74.42655944824219,88.65792121887206,0.9054939759317249,0.90803062915802,0.9401431620121002,,0.0,3062.4752891963667,4570.810705810547,51868.60546875,0,0,69.55983192974416,145.83589781928944,152.505126953125,175.26707611083984,-0.023029275545152425,-0.14821804404435912,0.008473158400258937,22.093809903992547,0.7068425764750551
vmf_robust,0,experiments/smallnorb/runs/final/lower_beta_slow_lr_b025_w30_s020/vmf_robust/seed_0,27,515.7616392780328,418209280,6354787,0.10000133514404297,0.10000133514404297,0.10000133514404297,,127.88223157388192,0.002497699835560828,27.202020439571804,0.8224336541692416,110.09840186790184,0.0021503594125899432,27.8100577815626,0.8403460024399733,73.67953136805154,73.85177612304688,84.67167358398437,3393.7289352479784,3149.15576171875,6207.347021484375,0.9944041607752749,0.0,3076.797595449496,4753.51259375,65692.359375,0,0,67.48044129647985,148.69406819899876,154.36524200439453,174.960546875,-0.023476537592429663,-0.14854901657470065,0.008469804472039903,22.088967744862593,0.7085445298861575
vmf_robust,1,experiments/smallnorb/runs/final/lower_beta_slow_lr_b025_w30_s020/vmf_robust/seed_1,27,516.0191593010095,418209280,6354787,0.10000133514404297,0.10000133514404297,0.10000133514404297,,127.5338072600188,0.0024908946732197096,27.286533546800968,0.8194171372276765,110.40234058788845,0.002156295714262077,27.880521384748832,0.8364829949348692,72.36710427366657,72.50778198242188,84.13890991210937,3171.4842028431835,2894.2061767578125,6003.4109375,0.993832048766407,0.0,2838.6066831098283,4353.5985865478515,48358.69140625,0,0,69.30223864913302,148.39793153338962,154.90484619140625,175.00467071533205,-0.018697970492976123,-0.15722184123912725,0.008300031871266482,22.202384086361636,0.7101504589893199
vmf_robust,2,experiments/smallnorb/runs/final/lower_beta_slow_lr_b025_w30_s020/vmf_robust/seed_2,44,516.0651772490237,418209280,6354787,0.10000133514404297,0.10000133514404297,0.10000133514404297,,126.22995420738503,0.002465428792385393,27.366916939770732,0.8299611544057175,109.75042555672782,0.00214356299913205,27.960526836738385,0.847813527353857,68.24715011659472,68.04684448242188,81.40548706054688,2503.6478398515364,2186.3245849609375,5058.391552734375,0.9918274780310721,0.0,3070.224194369276,4759.986412353515,58894.68359375,0,0,69.7421249160202,146.23486765349352,152.62368774414062,174.77703399658202,-0.007210874668651827,-0.1472393336634619,0.008065116154682106,22.240542235021238,0.7148404886987474
vmf_robust,3,experiments/smallnorb/runs/final/lower_beta_slow_lr_b025_w30_s020/vmf_robust/seed_3,38,515.24876351899,418209280,6354787,0.10000133514404297,0.10000133514404297,0.10000133514404297,,129.16811015588266,0.0025228146514833768,27.239071449350426,0.8246227186476742,111.05570254795136,0.0021690566910947573,27.857722703943807,0.84281161820447,71.1909724080906,71.25961303710938,83.64091186523437,2983.057726275911,2675.847412109375,5819.02548828125,0.9932313092353413,0.0,3001.3989520763753,4786.949970458984,62680.76171875,0,0,69.43532954587192,148.09414208871348,153.17598724365234,174.66907348632813,-0.01032152820283585,-0.1558106157494358,0.008300952024152071,22.127430742934898,0.7099450017787792
vmf_robust,4,experiments/smallnorb/runs/final/lower_beta_slow_lr_b025_w30_s020/vmf_robust/seed_4,31,515.9887857270078,418209280,6354787,0.10000133514404297,0.10000133514404297,0.10000133514404297,,126.92499941684582,0.0024790038968785667,27.288802173049362,0.8238495186081639,110.37424314145689,0.0021557469363462935,27.820948707439282,0.8414376584846507,70.44489160733949,70.31417846679688,83.57640991210937,2857.8990907582725,2521.494384765625,5795.740283203125,0.9929284752420928,0.0,2913.34097334405,4515.107170166017,55260.83203125,0,0,69.24305610603362,147.242966604586,153.53872680664062,174.78572998046874,-0.017870817045235222,-0.14628551732097006,0.008129324083910669,22.201357891118086,0.713005021120663
