competitor,metric,direction,num_paired_seeds,spcauchy_minus_competitor_mean,paired_difference_std,paired_t_ci_low,paired_t_ci_high,paired_t_p_value,paired_wilcoxon_p_value,is_primary_metric,secondary_bh_q_value
gaussian_isotropic,test_gap_reconstruction_nll,lower,5,-50.24342490842607,3.271649127672576,-54.30571384501186,-46.181135971840284,4.290519703052925e-06,0.0625,True,
gaussian_isotropic,test_gap_pixel_mse,lower,5,-0.000981316893330249,6.389939869078593e-05,-0.0010606584761914666,-0.0009019753104690314,4.290520138980787e-06,0.0625,False,4.245912958675185e-05
gaussian_isotropic,test_gap_psnr_db,higher,5,1.4090342034233934,0.02793352843767974,1.3743501468195254,1.4437182600272613,3.70510691562982e-08,0.0625,False,1.7784513195023137e-06
gaussian_isotropic,test_gap_ssim,higher,5,0.02455001696171588,0.004971958266295451,0.018376515381885217,0.030723518541546545,0.0003825859027896919,0.0625,False,0.0018364123333905213
gaussian_isotropic,test_observed_reconstruction_nll,lower,5,-41.147395849147166,2.6998317962208906,-44.499679791720446,-37.79511190657389,4.422825649355144e-06,0.0625,False,4.245912958675185e-05
gaussian_isotropic,test_observed_pixel_mse,lower,5,-0.0008036600750652032,5.2731090806508316e-05,-0.0008691343721056581,-0.0007381857780247483,4.422825998619985e-06,0.0625,False,4.245912958675185e-05
gaussian_isotropic,test_observed_psnr_db,higher,5,1.3787698914462303,0.04601359608254748,1.3216364657626414,1.4359033171298192,2.9726523879243347e-07,0.0625,False,7.134365731018404e-06
gaussian_isotropic,test_observed_ssim,higher,5,0.022456337352278366,0.005209603011572959,0.015987760847874316,0.028924913856682416,0.0006479408424392847,0.0625,False,0.0028273782215532425
gaussian_isotropic,pose_test_observed_mean_error_degrees,lower,5,1.2292168405979453,1.1301221025892714,-0.17401508776149366,2.632448768957384,0.07181503499650772,0.125,False,0.13591827554231956
gaussian_isotropic,pose_test_gap_mean_error_degrees,lower,5,-4.935350958965455,1.6194556931160098,-6.946170789793728,-2.9245311281371826,0.002423840570931237,0.0625,False,0.007831942263146593
gaussian_isotropic,pose_test_gap_median_error_degrees,lower,5,-3.962133026123047,2.2449873427066436,-6.749652985985023,-1.1746130662610716,0.016869006140263113,0.0625,False,0.044984016374034964
gaussian_isotropic,pose_test_gap_q90_error_degrees,lower,5,-0.44154876708985286,0.48909894834912854,-1.048845322814288,0.16574778863458234,0.1136688923479364,0.125,False,0.1948609583107481
gaussian_isotropic,geometry_test_spearman,higher,5,0.03609070357050964,0.006734552616686568,0.027728652042360975,0.04445275509865831,0.0002779498316124274,0.0625,False,0.001610782268112174
gaussian_isotropic,geometry_test_cross_gap_spearman,higher,5,0.0508904649784027,0.00678434454070615,0.04246658861079762,0.059314341346007785,7.404153489075894e-05,0.0625,False,0.0005923322791260715
gaussian_isotropic,interpolation_interior_pixel_mse,lower,5,-0.00019553210000567908,0.00014466813003213426,-0.00037516130875404094,-1.5902891257317227e-05,0.03907680072728657,0.125,False,0.0815515841265111
gaussian_isotropic,interpolation_interior_psnr_db,higher,5,0.1021392201670892,0.09480109894158914,-0.01557189137883501,0.21985033171301344,0.07362239925208976,0.125,False,0.13591827554231956
gaussian_isotropic,interpolation_interior_ssim,higher,5,-0.001794965396324799,0.0035982673951665176,-0.006262804476813501,0.0026728736841639027,0.32714997554661945,0.625,False,0.4618587890069922
