epoch,train_total_loss,train_recon_loss,train_kl,eval_total_loss,eval_recon_loss,eval_kl,learning_rate
1,197.7154381920788,193.77815340932753,3.937284818336145,161.875203579287,156.3600595208663,5.515143660050404,0.0005
2,158.80976395922175,152.9252971982651,5.884466934814128,155.26697472680974,149.24336744863777,6.023606728903855,0.0005
3,152.72502848741087,146.39078708803223,6.334241501049701,150.6474292610265,144.26748425447488,6.379945368706426,0.0005
4,149.90602329799108,143.30406218246102,6.6019609315054755,147.96199344683296,141.31459769719763,6.6473960031436965,0.0005
5,147.535200594839,140.78107320626916,6.7541274953244335,146.09242538259,139.4153479081166,6.677077830592288,0.0005
6,145.95024359404152,139.0682077306166,6.88203576887086,144.58877775940715,137.7012453682815,6.887532312658768,0.0005
7,144.47410892576042,137.50526524200114,6.9688437864470325,144.1894618167153,137.29516814026653,6.8942934832995455,0.0005
8,143.52209397826368,136.46906960493465,7.053024250307063,144.06153802026677,137.0408125285861,7.020725721045386,0.0005
9,143.11497396700926,136.0434819528543,7.071491918584177,143.13157373742212,135.8976409525811,7.233932905559298,0.0005
10,142.24617401318255,135.07239966809368,7.173774281036117,142.2612358769284,135.16715926158278,7.094077007679999,0.0005
11,141.57436209802688,134.36672142370423,7.207640937650636,141.98192441916163,134.7157648786714,7.266158610959597,0.0005
12,141.35634656958996,134.0463590479609,7.309987281685445,141.25745382188242,133.8362693303748,7.4211847812314575,0.0005
13,141.0440378087416,133.7245294696995,7.319508222120403,142.54667769806295,134.9269844731198,7.619693279266357,0.0005
14,141.2083690781583,133.83188170410676,7.376487362867733,142.9788279473027,135.68360813961755,7.295219179950183,0.0005
15,141.38541355417735,134.07479796582447,7.310615728658908,140.68875962269456,133.56004632877398,7.128712605826462,0.0005
16,139.91606218220073,132.51208307392307,7.403978879517838,140.1055362556554,132.77193306065814,7.33360310445858,0.0005
17,139.6341637162003,132.24688980980977,7.387273902323709,141.18909212909168,133.9479264850858,7.241165746616412,0.0005
18,139.65573596751003,132.18768448819483,7.468051438646784,139.9869027439552,132.6071634413321,7.379740346836138,0.0005
19,139.13953471234612,131.72683678405372,7.4126977717190154,139.50480574595778,132.05070012732398,7.454104803785493,0.0005
20,139.34917300291406,131.85917058428214,7.490002575205334,140.21947257126433,132.8625157030323,7.3569559085218215,0.0005
21,139.66553287465436,132.20821998775133,7.4573126256084645,139.8110723374765,132.1608036862144,7.650269508361816,0.0005
22,139.24176443461926,131.75090872758489,7.490855675516352,140.90285047700132,133.46523391144186,7.437616746636886,0.0005
23,139.62711918226947,132.15889852235057,7.468220484027984,140.60614931130712,132.97315418871142,7.632994989805583,0.0005
24,138.90562938372972,131.42875472924857,7.476874784620078,138.97186346899105,131.52699685398537,7.444866446000111,0.0005
25,138.1326220091472,130.63970909850684,7.49291286183827,138.5437019444719,131.04293456258654,7.500766892976399,0.0005
26,138.12466258229986,130.54157481569726,7.583087847939432,139.03381946418858,131.41631944873666,7.617499695548529,0.0005
27,138.25208562269393,130.68872841385635,7.563357346093476,139.0694094307815,131.43279372589498,7.636615222013449,0.0005
28,137.9985634940011,130.47366754332586,7.524895853071071,138.72350446483756,131.19653474831884,7.526970006242583,0.0005
29,137.92722670305005,130.32645042110354,7.600776205693227,140.20690493040448,132.83834983729108,7.3685549723951125,0.0005
30,138.04975199750237,130.4522418772488,7.59751011110318,138.7608926507491,131.10543900501878,7.65545261358913,0.0005
31,137.56398737405155,129.98683711460657,7.5771500744036775,138.49144455149204,130.98069357570213,7.510750118690201,0.0005
32,137.04070587808897,129.42432582505475,7.616379735820583,137.98518255692494,130.30933476701568,7.675848073597196,0.0005
33,136.8746943199304,129.223569564982,7.65112474783143,139.28163813337494,131.5800829537307,7.7015566463711895,0.0005
34,136.8207352563008,129.1255047112894,7.6952303060844764,137.61122450043882,129.91444445259964,7.696780126306075,0.0005
35,137.83903472509974,130.1353565533278,7.703678164654957,138.00600317460072,130.27737330183197,7.728629619260378,0.0005
36,137.00107701348344,129.32274434103894,7.678332652110281,137.9570819516725,130.22275079654742,7.7343306903597675,0.0005
37,136.51548588148822,128.7394114577694,7.776074147173591,137.768458788908,130.11057001427758,7.657888581481161,0.0005
38,136.58408305284055,128.83770939027832,7.7463739431743175,137.70932257929934,130.044302638573,7.6650201399115065,0.0005
39,136.20230261959247,128.47301985815898,7.72928229273001,137.73515203934681,130.0520316015316,7.683120262773731,0.0005
40,136.2888640869401,128.52547674443423,7.763387411642176,137.45317463935177,129.64831996869438,7.804855008668538,0.0005
41,136.26915376577804,128.4688530374946,7.800300561542958,137.346811898147,129.66929694067073,7.677514860901652,0.0005
42,136.6664193484829,128.89991163241584,7.766507743518235,137.7158208919477,129.8422677728194,7.873553764970997,0.0005
43,136.18084964060833,128.3400275386981,7.840822021590113,137.30835202374035,129.65100136286097,7.657349906390226,0.0005
44,135.7776634850736,127.97200236696679,7.8056613214488735,137.24134121665472,129.45589794690096,7.785443420651593,0.0005
45,135.30413506025954,127.49549960073378,7.8086355347623195,136.94611831858188,129.0602630422085,7.885855445378943,0.0005
46,135.7826268698361,127.97753270196,7.805094435270916,136.60459919217266,128.70413613621193,7.900463176679008,0.0005
47,135.51081029896034,127.66593441831023,7.844875981304437,136.45124768607224,128.60372615765922,7.847520604918275,0.0005
48,136.02111668373223,128.17516302503248,7.845953691234467,137.21513212179835,129.47882022133356,7.736311610740952,0.0005
49,135.59528158875162,127.80102569970495,7.794255945982455,136.7222804781757,128.95701975762088,7.7652605756928645,0.0005
50,135.56873438658238,127.7649824553207,7.8037519729467855,137.15743535681617,129.213482820535,7.943952874292301,0.0005
