batch_size,central_calibration_absolute_error,central_mass,device,epsilon,evaluation_samples,family,fitted_concentration,fitted_local_curvature,forward_kl,heldout_nll,initial_curvature,initial_location_angle_degrees,joint_mass_calibration_absolute_error,kappa,learning_rate,location_cosine,nonfinite_count,objective,reverse_kl,seed,steps,tail_calibration_absolute_error,tail_probability,target_central_mass,target_entropy,target_local_curvature,target_tail_probability,target_theta_q50_rad,target_theta_q90_rad,target_theta_q99_rad,theta_q50_rad,theta_q90_rad,theta_q99_rad,wall_seconds
8192,0.008538991212844849,0.3705190122127533,cuda,0.0,1000000,powerspherical,184.33861857533006,92.16930928766503,0.001419319490879949,-30.683623804728473,100.0,10.0,0.008538991212844849,100,0.03,0.9999993634789974,0,forward_kl,0.0014116066394725746,0,600,0.0,0.0,0.37905800342559814,-30.68504312421935,100.0,0.0,0.5450900300640732,0.6378476689310945,0.7180783249821049,0.545924856383105,0.6347787936716606,0.7098841317319545,5.005444485985208
8192,0.007991999387741089,0.3709009885787964,cuda,0.0,1000000,powerspherical,184.29491223919365,92.14745611959682,0.0015246243267800583,-30.682989847205718,100.0,10.0,0.007991999387741089,100,0.03,0.9999990670664732,0,forward_kl,0.0014093626050792549,1,600,0.0,0.0,0.3788929879665375,-30.6845144715325,100.0,0.0,0.545098395278369,0.6380655112158422,0.7181140994330556,0.5459340545702751,0.6349670408784913,0.709632426392289,4.866078124032356
8192,0.007306993007659912,0.3721410036087036,cuda,0.0,1000000,powerspherical,184.44054590788647,92.22027295394324,0.0013546133904717896,-30.68996938113669,100.0,10.0,0.007306993007659912,100,0.03,0.9999992547254045,0,forward_kl,0.0013706956978803962,2,600,0.0,0.0,0.3794479966163635,-30.691323994527167,100.0,0.0,0.5450093305766549,0.6379165986329698,0.7180422639893107,0.5455295280048522,0.6344844172301147,0.710054596792535,4.929911299957894
8192,0.03639000654220581,0.41544800996780396,cuda,0.0,1000000,spcauchy,0.5645745372370933,190.5783739127095,0.06527664863033605,-30.619766475589017,100.0,10.0,0.03639000654220581,100,0.03,0.9999993180349948,0,forward_kl,0.10300421535722563,0,600,0.0,0.0,0.37905800342559814,-30.68504312421935,100.0,0.0,0.5450900300640732,0.6378476689310945,0.7180783249821049,0.542883570818311,0.6735065443020284,0.8018117495787065,4.427969582029618
8192,0.03671300411224365,0.41560599207878113,cuda,0.0,1000000,spcauchy,0.564607980931103,190.6189437892698,0.06469639560848968,-30.619818075924012,100.0,10.0,0.03671300411224365,100,0.03,0.9999989256830498,0,forward_kl,0.10390158512294788,1,600,0.0,0.0,0.3788929879665375,-30.6845144715325,100.0,0.0,0.545098395278369,0.6380655112158422,0.7181140994330556,0.5428433231059994,0.673655536506036,0.8031990319169116,4.4160162979969755
8192,0.035762012004852295,0.4152100086212158,cuda,0.0,1000000,spcauchy,0.5646211469918984,190.63491807713592,0.06556313763353588,-30.625760856893628,100.0,10.0,0.035762012004852295,100,0.03,0.9999991918204041,0,forward_kl,0.10241659172858439,2,600,0.0,0.0,0.3794479966163635,-30.691323994527167,100.0,0.0,0.5450093305766549,0.6379165986329698,0.7180422639893107,0.5430437199117897,0.6734262847678182,0.8020205890141319,4.4153157460386865
8192,0.0002459883689880371,0.3793039917945862,cuda,0.0,1000000,vmf,100.06135812031884,100.06135812031884,5.7744151761647494e-05,-30.684985380067594,100.0,10.0,0.0002459883689880371,100,0.03,0.9999993558439764,0,forward_kl,6.025411713188034e-05,0,600,0.0,0.0,0.37905800342559814,-30.68504312421935,100.0,0.0,0.5450900300640732,0.6378476689310945,0.7180783249821049,0.5449823673649077,0.637880197267514,0.7181655700937511,4.658153637021314
8192,0.0009370148181915283,0.379830002784729,cuda,0.0,1000000,vmf,100.02417663932789,100.02417663932789,6.953283257080193e-05,-30.68444493869993,100.0,10.0,0.0009370148181915283,100,0.03,0.9999990437123782,0,forward_kl,8.759884804132767e-05,1,600,0.0,0.0,0.3788929879665375,-30.6845144715325,100.0,0.0,0.545098395278369,0.6380655112158422,0.7181140994330556,0.5450056193002883,0.6379363552759231,0.7177618950532133,4.720654211996589
8192,0.0010249912738800049,0.38047298789024353,cuda,0.0,1000000,vmf,100.08958663839633,100.08958663839633,5.004035060950005e-05,-30.691273954176555,100.0,10.0,0.0010249912738800049,100,0.03,0.9999992527094093,0,forward_kl,7.827478086166327e-05,2,600,0.0,0.0,0.3794479966163635,-30.691323994527167,100.0,0.0,0.5450093305766549,0.6379165986329698,0.7180422639893107,0.5447477049714229,0.6375275485226929,0.717773813527805,4.693768844008446
8192,0.009422004222869873,0.36963599920272827,cuda,0.0,1000000,powerspherical,184.2185806976907,92.10929034884535,0.0014384303442414544,-30.683604693875107,100.0,10.0,0.009422004222869873,100,0.03,0.9999990875424626,0,reverse_kl,0.0014648096926901343,0,600,0.0,0.0,0.37905800342559814,-30.68504312421935,100.0,0.0,0.5450900300640732,0.6378476689310945,0.7180783249821049,0.5460797245595175,0.6349365915475758,0.7100924686514435,3.268417626968585
