kappa,epsilon,objective,family,seeds,forward_kl_mean,forward_kl_sd,reverse_kl_mean,reverse_kl_sd,heldout_nll_mean,heldout_nll_sd,tail_probability_mean,tail_probability_sd,tail_calibration_absolute_error_mean,tail_calibration_absolute_error_sd,central_calibration_absolute_error_mean,central_calibration_absolute_error_sd,joint_mass_calibration_absolute_error_mean,joint_mass_calibration_absolute_error_sd,theta_q50_rad_mean,theta_q50_rad_sd,theta_q90_rad_mean,theta_q90_rad_sd,theta_q99_rad_mean,theta_q99_rad_sd,fitted_local_curvature_mean,fitted_local_curvature_sd,location_cosine_mean,location_cosine_sd
20,0.0,forward_kl,powerspherical,3,0.010495966099945839,0.00013363314820226467,0.009031831013909012,0.0001261233349083705,-13.872535956186406,0.0036159911605069283,6.833333221341793e-05,8.020805514988193e-06,0.0004446666644071229,3.300505026953281e-05,6.666667028791077e-07,5.773503005505225e-07,0.000445333331110002,3.259345565916039e-05,1.0712966840914635,0.00036042493050016794,1.2380707045050123,0.0003547136027854907,1.3761394132087739,0.0003549411480237085,14.406429999306427,0.00674336445409553,0.9999960217396414,1.3198001535110923e-06
20,0.0,forward_kl,spcauchy,3,0.00986599395940767,0.00014310367176546083,0.01147675705412044,0.00021450476469075214,-13.873165928326943,0.003368693714954247,0.0018786666526769598,4.0451617274877184e-05,0.001365666656056419,4.50925063394024e-05,7.000000285491599e-06,5.999999928008037e-06,0.0013726666563419105,4.206345140731725e-05,1.0655246839596715,8.610941752959674e-05,1.276285528130339,0.00035278508410937375,1.464082338513838,0.001209389015946025,30.038274709912304,0.01855777861344403,0.9999961712315756,1.0284843253784134e-06
20,0.0,forward_kl,vmf,3,4.339187447231139e-05,2.215055394026974e-05,4.43611542592727e-05,1.4735182757671657e-05,-13.882988530411879,0.0034992784182657243,0.0005243333289399743,2.5166036569491084e-06,2.3999979021027684e-05,1.4177450138712862e-05,1.9999998812636477e-06,9.999999406318287e-07,2.5999978902291332e-05,1.5132749037474082e-05,1.0665063164074018,0.00045281040328723444,1.2533865477414607,0.000623955392975268,1.4152033457191824,0.0004951043048909874,20.016941599012537,0.016816647185750096,0.9999961049518511,1.1421573891261539e-06
20,0.0,reverse_kl,powerspherical,3,0.010538860963984981,0.0001426783714763834,0.009009407255742103,9.669409308958813e-05,-13.872493061322366,0.0036132265228158876,6.433333449725372e-05,7.505554263112024e-06,0.0004486666621232871,3.329164394029767e-05,6.666667028791077e-07,5.773503005505225e-07,0.0004493333288261662,3.2868428024242884e-05,1.070209666962768,0.00040855227125450254,1.236821877733495,0.0004017957782682049,1.3748131864637223,0.00025207696133388647,14.462018155902443,0.009151643270477537,0.9999961266031225,1.0021808881026373e-06
20,0.0,reverse_kl,spcauchy,3,0.009872192313861581,0.00014840329277251277,0.011458618827092414,0.00021149166830251422,-13.87315972997249,0.0033679404024040955,0.0018599999990935128,4.095120947487297e-05,0.0013470000024729718,4.124321585756913e-05,7.333333428505284e-06,6.506406732759427e-06,0.001354333335901477,3.7072035295362065e-05,1.0649761198133987,0.00029105239353363334,1.2756871311545153,0.00046353191849379767,1.4634587150670615,0.001390177090016042,30.095975053590294,0.027664552484823773,0.9999969369866203,3.8668024755059954e-07
20,0.0,reverse_kl,vmf,3,4.2447807993508725e-05,1.5991766936094364e-05,4.318569360595046e-05,2.2340568538000346e-05,-13.882989474478357,0.0034945649497283753,0.0005340000110057493,1.0582997826777723e-05,3.3666661086802684e-05,2.1221070135958577e-05,1.9999998812636477e-06,9.999999406318287e-07,3.566666096806633e-05,2.2030293121913604e-05,1.0671044589319763,0.00030058478009891933,1.2540783929076345,0.00022239123109338873,1.415991788008424,0.0007034670996836612,19.982507073238143,0.01701611117599732,0.9999961472607692,1.1481513639685764e-06
20,0.01,forward_kl,powerspherical,3,0.04394823399743797,0.0006300173842876296,0.017536961299875434,0.00015422010616484037,-13.759714337070564,0.004415813506210579,8.866666757967323e-05,1.19303507757369e-05,0.005344000077457167,0.0001194112346629772,1.6666666245631252e-06,5.773502349134185e-07,0.00534566674408173,0.0001194837904542911,1.0777766867936347,0.0002138984723445486,1.2454288632233192,0.00016413390093329743,1.3842144984129152,0.0007337739372808057,14.081019755760119,0.01461267743839773,0.9999958377388382,7.785891808390849e-07
20,0.01,forward_kl,spcauchy,3,0.012515657164558143,1.1278814754050923e-05,0.010112457554953361,8.059282492093156e-05,-13.791146913903445,0.003844312205877847,0.002049333260705074,4.006665285445789e-05,0.0033833334843317666,0.00010973770753325258,6.666666725626176e-06,5.507570302879369e-06,0.003390000151057393,0.00010740591816793443,1.0697147679636358,0.0004344247410219863,1.2808653531557972,9.86161657674081e-05,1.4688381430253024,0.0008188733008170614,29.600060464461734,0.026269726040054342,0.9999961290709346,8.994657315799153e-07
20,0.01,forward_kl,vmf,3,0.013795150937496609,0.0002469274982876866,0.0048899384968792625,5.823156290180201e-05,-13.789867420130507,0.004059874339558103,0.0006186666626793643,5.033203458846698e-06,0.0048140000823574764,0.00012301641104130645,2.9999999545301157e-06,9.99999883788407e-07,0.004817000082312006,0.00012275600619485319,1.0721846787263876,0.00033925793493188016,1.259999637995882,0.0004471469207871605,1.422566704680656,0.0004616899079393294,19.690673033785078,0.0070290723255715245,0.9999959924606632,8.572001445180679e-07
20,0.01,reverse_kl,powerspherical,3,0.04527550277104594,0.0006727462913932936,0.016511266398247126,9.43436733375506e-05,-13.758387068296956,0.004449811341408995,6.866666565959652e-05,8.020805212609578e-06,0.005364000079377244,0.00012312206780418217,1.3333333299669903e-06,5.773503661876488e-07,0.005365333412707211,0.00012267590088373346,1.0713412098227975,0.0004002031712499312,1.2381113416165743,0.00039436435551856963,1.3762286954648062,0.00022053644218982798,14.404434445342359,0.009048590991097094,0.9999961167182239,9.858200120867748e-07
