evaluations,failures,max_abs_error,max_rel_error,mean_abs_error,mean_rel_error,method,successes
216,0,1.8189894035458565e-12,2.1751168308129782e-16,3.727059913427023e-14,1.424192380176458e-17,direct,216
216,0,0.22047064424415497,4091999515.48229,0.007768674656186047,38309756.39507551,laplace,216
216,0,0.0010994833695789907,0.0005785056763124453,5.249776246115644e-05,1.320764812848716e-05,neighbor,216
