abs_error,batch_size,benchmark,device,dim,direct_backend,dtype,error_message,eval_time_s,failure_type,family,kappa,kl_value,method,quadrature_nodes,reference_error_message,reference_failure_type,reference_method,reference_nodes,reference_source,reference_success,reference_value,rel_error,rho,seed,series_k_terms,success
0.0,,accuracy,cpu,2,auto,float64,,0.00015634798910468817,,spcauchy,,3.2289261607217004,neighbor,400,,,direct_float64_vectorized,4096,direct_certified,True,3.2289261607217004,0.0,0.98,0,,True
0.019715815874028486,,accuracy,cpu,2,auto,float64,,0.00016376801067963243,,spcauchy,,3.209210344847672,laplace,400,,,direct_float64_vectorized,4096,direct_certified,True,3.2289261607217004,0.006105997750540627,0.98,0,,True
0.0,,accuracy,cpu,2,auto,float64,,0.0001314380206167698,,spcauchy,,3.9170355472516887,direct,400,,,direct_float64_vectorized,4096,direct_certified,True,3.9170355472516887,0.0,0.99,0,,True
0.0,,accuracy,cpu,2,auto,float64,,0.00012888299534097314,,spcauchy,,3.9170355472516887,neighbor,400,,,direct_float64_vectorized,4096,direct_certified,True,3.9170355472516887,0.0,0.99,0,,True
0.009929822515983844,,accuracy,cpu,2,auto,float64,,0.00015809200704097748,,spcauchy,,3.907105724735705,laplace,400,,,direct_float64_vectorized,4096,direct_certified,True,3.9170355472516887,0.00253503507849218,0.99,0,,True
0.0,,accuracy,cpu,2,auto,float64,,0.00013333797687664628,,spcauchy,,4.607673316206214,direct,400,,,direct_float64_vectorized,4096,direct_certified,True,4.607673316206214,0.0,0.995,0,,True
0.0,,accuracy,cpu,2,auto,float64,,0.0001316770212724805,,spcauchy,,4.607673316206214,neighbor,400,,,direct_float64_vectorized,4096,direct_certified,True,4.607673316206214,0.0,0.995,0,,True
0.0049825636629492465,,accuracy,cpu,2,auto,float64,,0.00015455496031790972,,spcauchy,,4.602690752543265,laplace,400,,,direct_float64_vectorized,4096,direct_certified,True,4.607673316206214,0.0010813621802189099,0.995,0,,True
0.0,,accuracy,cpu,2,auto,float64,,0.0001254639937542379,,spcauchy,,6.215108223463887,direct,400,,,direct_float64_vectorized,4096,direct_certified,True,6.215108223463887,0.0,0.999,0,,True
0.0,,accuracy,cpu,2,auto,float64,,0.00013324001338332891,,spcauchy,,6.215108223463887,neighbor,400,,,direct_float64_vectorized,4096,direct_certified,True,6.215108223463887,0.0,0.999,0,,True
0.000999306330911054,,accuracy,cpu,2,auto,float64,,0.00016307801706716418,,spcauchy,,6.214108917132976,laplace,400,,,direct_float64_vectorized,4096,direct_certified,True,6.215108223463887,0.00016078663395407573,0.999,0,,True
0.0,,accuracy,cpu,3,auto,float64,,0.00038167397724464536,,spcauchy,,0.0,direct,400,,,direct_float64_vectorized,4096,direct_certified,True,0.0,0.0,0.0,0,,True
0.0,,accuracy,cpu,3,auto,float64,,0.00035709503572434187,,spcauchy,,0.0,neighbor,400,,,direct_float64_vectorized,4096,direct_certified,True,0.0,0.0,0.0,0,,True
1.5451823541182824e-06,,accuracy,cpu,3,auto,float64,,0.0001597310183569789,,spcauchy,,1.5451823541182824e-06,laplace,400,,,direct_float64_vectorized,4096,direct_certified,True,0.0,1545182.3541182824,0.0,0,,True
0.0,,accuracy,cpu,3,auto,float64,,0.00037493801210075617,,spcauchy,,0.00026667733401909845,direct,400,,,direct_float64_vectorized,4096,direct_certified,True,0.00026667733401909845,0.0,0.01,0,,True
0.0,,accuracy,cpu,3,auto,float64,,0.00035586702870205045,,spcauchy,,0.00026667733401909845,neighbor,400,,,direct_float64_vectorized,4096,direct_certified,True,0.00026667733401909845,0.0,0.01,0,,True
0.00011211049915018652,,accuracy,cpu,3,auto,float64,,0.00015874800737947226,,spcauchy,,0.00015456683486891193,laplace,400,,,direct_float64_vectorized,4096,direct_certified,True,0.00026667733401909845,0.4203975548299039,0.01,0,,True
0.0,,accuracy,cpu,3,auto,float64,,0.00037418899592012167,,spcauchy,,0.026774024167726562,direct,400,,,direct_float64_vectorized,4096,direct_certified,True,0.026774024167726562,0.0,0.1,0,,True
0.0,,accuracy,cpu,3,auto,float64,,0.00039809802547097206,,spcauchy,,0.026774024167726562,neighbor,400,,,direct_float64_vectorized,4096,direct_certified,True,0.026774024167726562,0.0,0.1,0,,True
0.010837219286104371,,accuracy,cpu,3,auto,float64,,0.00015828001778572798,,spcauchy,,0.01593680488162219,laplace,400,,,direct_float64_vectorized,4096,direct_certified,True,0.026774024167726562,0.40476617254897257,0.1,0,,True
0.0,,accuracy,cpu,3,auto,float64,,0.0003656400367617607,,spcauchy,,0.1710089010054605,direct,400,,,direct_float64_vectorized,4096,direct_certified,True,0.1710089010054605,0.0,0.25,0,,True
