abs_error,backward_iqr_s,backward_max_s,backward_mean_s,backward_median_s,backward_min_s,backward_std_s,batch_size,benchmark,device,dim,direct_backend_requested,direct_backend_resolved,dtype,error_message,failure_type,family,forward_iqr_s,forward_max_s,forward_mean_s,forward_median_s,forward_min_s,forward_std_s,kappa,kl_autograd_route,kl_error_threshold_exceeded,kl_iqr_s,kl_mean_s,kl_median_s,kl_std_s,loss_construction_iqr_s,loss_construction_mean_s,loss_construction_median_s,loss_construction_std_s,measure_iters,method,nan_or_inf_grad,nan_or_inf_loss,parameter_iqr_s,parameter_mean_s,parameter_median_s,parameter_std_s,peak_cuda_memory_bytes,power_exponent,quadrature_nodes,reference_source,rel_error,repeat_total_medians_s,repeats,retained_correction_terms,rho,runtime_error,sampling_iqr_s,sampling_mean_s,sampling_median_s,sampling_std_s,seed,series_k_terms,success,timeout_hit,timeout_s,total_iqr_s,total_max_s,total_mean_s,total_median_s,total_min_s,total_std_s,warmup_iters
6.10950197383886e-05,,,,,,,32,robustness,cpu,17,auto,vectorized,float32,,,spcauchy,,,,,,,,,False,,,,,,,,,1,neighbor,False,False,,,,,,,1000,direct_certified,1.71829421131403e-06,,1,8,0.9,False,,,,,0,,True,False,5.0,,,,,,,1
0.0005570056642696386,,,,,,,32,robustness,cpu,17,auto,,float32,,,spcauchy,,,,,,,,,False,,,,,,,,,1,laplace,False,False,,,,,,,1000,direct_certified,1.566575496140252e-05,,1,,0.9,False,,,,,0,,True,False,5.0,,,,,,,1
4.574214102603946e-06,,,,,,,32,robustness,cpu,17,auto,vectorized,float32,,,spcauchy,,,,,,,,,False,,,,,,,,,1,direct,False,False,,,,,,,1000,direct_certified,9.727599152328111e-08,,1,10,0.95,False,,,,,0,,True,False,5.0,,,,,,,1
6.560937035260395e-05,,,,,,,32,robustness,cpu,17,auto,vectorized,float32,,,spcauchy,,,,,,,,,False,,,,,,,,,1,neighbor,False,False,,,,,,,1000,direct_certified,1.395259690759672e-06,,1,8,0.95,False,,,,,0,,True,False,5.0,,,,,,,1
0.001316830073477604,,,,,,,32,robustness,cpu,17,auto,,float32,,,spcauchy,,,,,,,,,False,,,,,,,,,1,laplace,False,False,,,,,,,1000,direct_certified,2.8003925525105685e-05,,1,,0.95,False,,,,,0,,True,False,5.0,,,,,,,1
2.0756791919041007e-05,,,,,,,32,robustness,cpu,17,auto,vectorized,float32,,,spcauchy,,,,,,,,,False,,,,,,,,,1,direct,False,False,,,,,,,1000,direct_certified,3.3523123675688244e-07,,1,10,0.98,False,,,,,0,,True,False,5.0,,,,,,,1
4.027836433095899e-05,,,,,,,32,robustness,cpu,17,auto,vectorized,float32,,,spcauchy,,,,,,,,,False,,,,,,,,,1,neighbor,False,False,,,,,,,1000,direct_certified,6.505131400785137e-07,,1,8,0.98,False,,,,,0,,True,False,5.0,,,,,,,1
0.001020655561596584,,,,,,,32,robustness,cpu,17,auto,,float32,,,spcauchy,,,,,,,,,False,,,,,,,,,1,laplace,False,False,,,,,,,1000,direct_certified,1.6484032192997064e-05,,1,,0.98,False,,,,,0,,True,False,5.0,,,,,,,1
2.827284009754294e-05,,,,,,,32,robustness,cpu,17,auto,vectorized,float32,,,spcauchy,,,,,,,,,False,,,,,,,,,1,direct,False,False,,,,,,,1000,direct_certified,3.8683609247559084e-07,,1,10,0.99,False,,,,,0,,True,False,5.0,,,,,,,1
3.276231615245706e-05,,,,,,,32,robustness,cpu,17,auto,vectorized,float32,,,spcauchy,,,,,,,,,False,,,,,,,,,1,neighbor,False,False,,,,,,,1000,direct_certified,4.482622303646046e-07,,1,8,0.99,False,,,,,0,,True,False,5.0,,,,,,,1
0.012403150769785043,,,,,,,32,robustness,cpu,17,auto,,float32,,,spcauchy,,,,,,,,,True,,,,,,,,,1,laplace,False,False,,,,,,,1000,direct_certified,0.00016970302104832522,,1,,0.99,False,,,,,0,,True,False,5.0,,,,,,,1
2.625555958957193e-05,,,,,,,32,robustness,cpu,17,auto,vectorized,float32,,,spcauchy,,,,,,,,,False,,,,,,,,,1,direct,False,False,,,,,,,1000,direct_certified,3.1175877518501093e-07,,1,10,0.995,False,,,,,0,,True,False,5.0,,,,,,,1
8.729071583957193e-05,,,,,,,32,robustness,cpu,17,auto,vectorized,float32,,,spcauchy,,,,,,,,,False,,,,,,,,,1,neighbor,False,False,,,,,,,1000,direct_certified,1.0364908263458371e-06,,1,8,0.995,False,,,,,0,,True,False,5.0,,,,,,,1
0.04663422675099582,,,,,,,32,robustness,cpu,17,auto,,float32,,,spcauchy,,,,,,,,,True,,,,,,,,,1,laplace,False,False,,,,,,,1000,direct_certified,0.0005537352713428709,,1,,0.995,False,,,,,0,,True,False,5.0,,,,,,,1
0.0003163937607268963,,,,,,,32,robustness,cpu,17,auto,vectorized,float32,,,spcauchy,,,,,,,,,False,,,,,,,,,1,direct,False,False,,,,,,,1000,direct_certified,2.876294042398994e-06,,1,10,0.999,False,,,,,0,,True,False,5.0,,,,,,,1
0.0002553586044768963,,,,,,,32,robustness,cpu,17,auto,vectorized,float32,,,spcauchy,,,,,,,,,False,,,,,,,,,1,neighbor,False,False,,,,,,,1000,direct_certified,2.321431468954312e-06,,1,8,0.999,False,,,,,0,,True,False,5.0,,,,,,,1
1.3976786013564606,,,,,,,32,robustness,cpu,17,auto,,float32,,,spcauchy,,,,,,,,,True,,,,,,,,,1,laplace,False,False,,,,,,,1000,direct_certified,0.012706112235064689,,1,,0.999,False,,,,,0,,True,False,5.0,,,,,,,1
0.0,,,,,,,32,robustness,cpu,32,auto,vectorized,float32,,,spcauchy,,,,,,,,,False,,,,,,,,,1,direct,False,False,,,,,,,1000,direct_certified,0.0,,1,15,0.0,False,,,,,0,,True,False,5.0,,,,,,,1
0.0,,,,,,,32,robustness,cpu,32,auto,vectorized,float32,,,spcauchy,,,,,,,,,False,,,,,,,,,1,neighbor,False,False,,,,,,,1000,direct_certified,0.0,,1,15,0.0,False,,,,,0,,True,False,5.0,,,,,,,1
5.9965066611766815e-05,,,,,,,32,robustness,cpu,32,auto,,float32,,,spcauchy,,,,,,,,,True,,,,,,,,,1,laplace,False,False,,,,,,,1000,direct_certified,59965066.611766815,,1,,0.0,False,,,,,0,,True,False,5.0,,,,,,,1
2.644291782066821e-10,,,,,,,32,robustness,cpu,32,auto,vectorized,float32,,,spcauchy,,,,,,,,,False,,,,,,,,,1,direct,False,False,,,,,,,1000,direct_certified,4.402541053760047e-08,,1,15,0.01,False,,,,,0,,True,False,5.0,,,,,,,1
2.644291782066821e-10,,,,,,,32,robustness,cpu,32,auto,vectorized,float32,,,spcauchy,,,,,,,,,False,,,,,,,,,1,neighbor,False,False,,,,,,,1000,direct_certified,4.402541053760047e-08,,1,15,0.01,False,,,,,0,,True,False,5.0,,,,,,,1
9.489975803222625e-06,,,,,,,32,robustness,cpu,32,auto,,float32,,,spcauchy,,,,,,,,,True,,,,,,,,,1,laplace,False,False,,,,,,,1000,direct_certified,0.001580007484658942,,1,,0.01,False,,,,,0,,True,False,5.0,,,,,,,1
1.2780153713087827e-08,,,,,,,32,robustness,cpu,32,auto,vectorized,float32,,,spcauchy,,,,,,,,,False,,,,,,,,,1,direct,False,False,,,,,,,1000,direct_certified,2.1265011029164726e-08,,1,15,0.1,False,,,,,0,,True,False,5.0,,,,,,,1
1.2780153713087827e-08,,,,,,,32,robustness,cpu,32,auto,vectorized,float32,,,spcauchy,,,,,,,,,False,,,,,,,,,1,neighbor,False,False,,,,,,,1000,direct_certified,2.1265011029164726e-08,,1,15,0.1,False,,,,,0,,True,False,5.0,,,,,,,1
0.0008957258215308572,,,,,,,32,robustness,cpu,32,auto,,float32,,,spcauchy,,,,,,,,,True,,,,,,,,,1,laplace,False,False,,,,,,,1000,direct_certified,0.0014904061329446402,,1,,0.1,False,,,,,0,,True,False,5.0,,,,,,,1
