epoch,train_total_loss,train_recon_loss,train_kl,eval_total_loss,eval_recon_loss,eval_kl,eval_concentration_mean,eval_concentration_std,eval_concentration_q95,eval_concentration_max,eval_fraction_above_0_9,learning_rate
1,253.4216951480044,249.46279448486848,3.9589003619990115,167.3416740320906,161.946094754376,5.395579307894163,0.9500148529052734,0.011043951023406792,0.9696370899677277,0.9836437106132507,1.0,0.0003
2,161.40721267016966,155.47780099962313,5.929411631911548,157.66119925583465,151.7345300988306,5.926669585553905,0.9614295248806477,0.009000886066011383,0.9769172251224518,0.9883086681365967,1.0,0.0003
3,156.01287802755198,149.74161459591343,6.27126342350486,155.4380529862416,148.74272078502028,6.695332231400888,0.9734672091841697,0.0069458989561226375,0.984021446108818,0.9925008416175842,1.0,0.0003
4,152.78443391389175,146.28343158388444,6.5010022629044455,151.59245223033278,144.98602005198032,6.606432202496106,0.9722997439920902,0.007249624111514961,0.982839259505272,0.9905074834823608,1.0,0.0003
5,150.52197242850687,143.87938288381613,6.642589367783146,149.95406312580351,142.99562671516514,6.95843569840057,0.9764785267353058,0.007068261029224714,0.9864076882600784,0.9936745166778564,1.0,0.0003
6,148.93764647136112,142.14601909580514,6.7916271996650615,148.24716592136818,141.37833848784243,6.868826829934422,0.9753404216468334,0.007507905079072305,0.9866009145975113,0.9930363297462463,1.0,0.0003
7,147.48151418852655,140.59275655197436,6.888757445410625,147.00450018387806,139.94648172885556,7.058019885533972,0.9774546456038952,0.007115131036111169,0.9880955100059509,0.9951580166816711,1.0,0.0003
8,146.8782553601621,139.97227217749492,6.90598312166454,145.61411642726463,138.76903195924396,6.845084606846677,0.9752109881520271,0.007120526531962197,0.9856473296880722,0.9935547709465027,1.0,0.0003
9,145.47505324634153,138.43741941147013,7.037633635596172,144.9753323325628,137.9018932294242,7.073439217820952,0.9778889632403851,0.006275897968486479,0.9870163261890411,0.9935775995254517,1.0,0.0003
10,144.89304900016867,137.84616908742422,7.046879699235277,144.4116083459009,137.35645786719985,7.055150394198261,0.9775272737205029,0.006867180079007765,0.9874432235956192,0.9941377639770508,1.0,0.0003
11,144.9999228926864,137.9156062079391,7.084316655262701,143.5723081178303,136.53251754181295,7.039790135395678,0.9773270983755589,0.006959904668467638,0.9877805858850479,0.9936977028846741,1.0,0.0003
12,143.35091320436393,136.20348437864388,7.147429135816692,143.42597980740703,136.35329350338708,7.072686563564252,0.9777730025351048,0.006600994040563861,0.987597206234932,0.9926059246063232,1.0,0.0003
13,142.7270348717663,135.52817828212974,7.1988563883279175,142.59621526017975,135.30939232548582,7.286823532249354,0.9799556014001369,0.006185088076336216,0.9886690080165863,0.9924777150154114,1.0,0.0003
14,142.2886761500637,135.02304226808204,7.265633856563934,143.1573654367954,135.70190738726265,7.455457892598985,0.9815767098486423,0.0056604918390574565,0.9895116597414017,0.9939634203910828,1.0,0.0003
15,141.91929600437058,134.61694213932256,7.302354011454308,141.58146223237242,134.19530274596394,7.386159450192995,0.9809782914936542,0.005706615610584649,0.9891407668590546,0.9944498538970947,1.0,0.0003
16,141.70314658679433,134.39334218690135,7.309804463945726,143.23152575915373,136.04487387741668,7.186651809306085,0.9791494128584862,0.005759062585716728,0.9875338315963745,0.9930533766746521,1.0,0.0003
17,141.18670579466993,133.82556467930647,7.361141098079397,141.19549502602106,133.8249813997293,7.370513891871972,0.9808603789687157,0.0055854804137213275,0.989048644900322,0.9933485388755798,1.0,0.0003
18,140.81982394220478,133.40366910108878,7.416154745545215,140.83380049693434,133.48958307580102,7.344217010691196,0.980638124358654,0.005539321217948801,0.9889867097139359,0.9946489930152893,1.0,0.0003
19,140.53009270706664,133.15595736635774,7.374135614204,140.6670373844195,133.22544764265228,7.441589838341821,0.9815452753603459,0.005334783558466016,0.989413070678711,0.993695080280304,1.0,0.0003
20,140.24116161484707,132.82782089786488,7.413340499406176,141.31480832643146,133.6989056551004,7.615902399714989,0.9828623859405518,0.005654804239953862,0.9905498057603837,0.9954224228858948,1.0,0.0003
21,139.8766219539683,132.423396909669,7.453224937544703,140.78639626804787,133.16512317898906,7.62127324599254,0.9832202732861042,0.004523965210080533,0.9898148357868195,0.9938986301422119,1.0,0.0003
22,139.79675177470455,132.35578820852837,7.440963680047725,140.67729814746713,133.07919919943507,7.598099986209145,0.9828737677693367,0.005080434098411446,0.990626984834671,0.9947020411491394,1.0,0.0003
23,139.2608914243133,131.7696485702417,7.491243094015223,139.72811754443978,132.24315411531472,7.484963290299041,0.9820342357873917,0.0048857170726172156,0.9892486900091171,0.993311882019043,1.0,0.0003
24,138.94745665267587,131.4457591530611,7.501697556550569,139.31742144234573,131.89921811260754,7.418203323702269,0.9814875054955482,0.004843637464964188,0.9885280340909958,0.9931651949882507,1.0,0.0003
25,139.1155936072376,131.56885619661702,7.546737221512459,140.21407994137536,132.47213426420961,7.741946075536028,0.9839741679251194,0.005123973201832206,0.9910543590784073,0.9955496788024902,1.0,0.0003
26,138.51085657961588,130.9402296151688,7.57062683227474,139.32443208332305,131.74019622802734,7.584235638002806,0.9827289733707905,0.005239088019685629,0.9904055535793305,0.99504154920578,1.0,0.0003
27,138.9882138380364,131.42026370115624,7.567949952855547,139.96073353441454,132.32753512225574,7.633198701882664,0.9833282507419586,0.004537141360844179,0.9900088161230087,0.9940266609191895,1.0,0.0003
28,138.2509597095091,130.68689560229336,7.564063998427726,139.53765666333936,131.74420600601388,7.793450989300692,0.9842694455385208,0.0051453967759825135,0.9921485245227813,0.9959784746170044,1.0,0.0003
29,138.33839967967606,130.75391191104328,7.584487721864094,139.24168357366247,131.40176961391788,7.839914732341525,0.9846848046898842,0.004977142059114446,0.9918472826480865,0.99538654088974,1.0,0.0003
30,137.93654564245423,130.30789895454194,7.628646642160314,138.43730559530138,130.74696359755117,7.690341424338425,0.9837868842422962,0.004407446353502397,0.990211209654808,0.9943519830703735,1.0,0.0003
31,138.04513146374018,130.4335619798347,7.611569565242287,138.8458347561993,131.30908589423458,7.536748680887343,0.9823541803181172,0.0053056227049836065,0.989606985449791,0.9946191310882568,1.0,0.0003
32,138.25032435500546,130.66547123760557,7.584853168235405,138.4877740401256,130.88337581972533,7.604397797886329,0.983060196596384,0.004639159176648146,0.9900852739810944,0.9946850538253784,1.0,0.0003
33,137.723048147108,130.08165475808735,7.6413932273637,138.5749020153963,130.97133819966376,7.603563827804372,0.9828889118611812,0.005185866378057142,0.9907645881175995,0.9947708249092102,1.0,0.0003
34,137.71907437127282,130.07968582120785,7.6393886517360015,139.20304918892776,131.7611441310448,7.4419052148167095,0.9814906949937343,0.0055534256108791796,0.9895866751670838,0.9967442750930786,1.0,0.0003
35,137.32469538381613,129.64646379678234,7.678231923564919,138.25101577179342,130.59468435939354,7.656331895272943,0.9833968430519104,0.004838275307656643,0.9905020743608475,0.9953485131263733,1.0,0.0003
36,137.49053177498044,129.78315359087134,7.707378137340424,138.4875940250445,130.81581907634492,7.671775057346006,0.9835627857148648,0.004692575265877695,0.9905065953731537,0.9961650371551514,1.0,0.0003
