d,z_star,signed_kl_error,max_abs_kl_error
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.8658586288280825,0.04355550919876716,0.04355550919876716
7,0.8603497202419604,0.03564157320506789,0.03564157320506789
8,0.8561706773181617,0.03010932688540935,0.03010932688540935
9,0.8529651135194986,0.02603717291032126,0.02603717291032126
10,0.8504035667444548,0.022920661571924406,0.022920661571924406
11,0.8483109996010738,0.020461918628720266,0.020461918628720266
12,0.8465543072799557,0.01847434153568628,0.01847434153568628
13,0.8450856164057389,0.016835356167565152,0.016835356167565152
14,0.8438446824310649,0.015461265783851985,0.015461265783851985
15,0.8428023919241843,0.01429303719950159,0.01429303719950159
16,0.8418799933045769,0.013287886014830441,0.013287886014830441
17,0.8410047518047825,0.012414058354753621,0.012414058354753621
18,0.8402573010602732,0.0116475098330584,0.0116475098330584
19,0.8396041206961842,0.01096970919976581,0.01096970919976581
20,0.8390315577464129,0.010366141531340745,0.010366141531340745
21,0.8385287980875011,0.0098252874116449,0.0098252874116449
22,0.8380727586156961,0.009337885596605311,0.009337885596605311
23,0.8376047077067186,0.008896406888588615,0.008896406888588615
24,0.8372134868838123,0.008494672167632444,0.008494672167632444
25,0.8367800990225651,0.008127556968355876,0.008127556968355876
26,0.8365217003019849,0.00779078363585306,0.00779078363585306
27,0.83624733357111,0.0074807446337175065,0.0074807446337175065
28,0.8357984875084307,0.007194383987627617,0.007194383987627617
29,0.8355957604690128,0.006929100765349361,0.006929100765349361
30,0.8354102115655204,0.006682649343074942,0.006682649343074942
31,0.8352552011749804,0.0064530947344803025,0.0064530947344803025
32,0.8349334805068126,0.006238764140027442,0.006238764140027442
33,0.8347629172165933,0.006038196224828596,0.006038196224828596
34,0.8345676935228383,0.0058501085005779885,0.0058501085005779885
35,0.8343558223031671,0.0056733595100215695,0.0056733595100215695
36,0.8342150582191874,0.005506966808924929,0.005506966808924929
37,0.8339637334311044,0.005350048672138286,0.005350048672138286
38,0.8336594954467355,0.0052018069311401405,0.0052018069311401405
39,0.833625002956427,0.00506155570950817,0.00506155570950817
40,0.8334305674417231,0.004928654386182174,0.004928654386182174
41,0.8332437378808593,0.004802549465546591,0.004802549465546591
42,0.8332998149473487,0.0046827394775306175,0.0046827394775306175
43,0.8334808575909214,0.004568741352564132,0.004568741352564132
44,0.8333775043464495,0.004460164503344188,0.004460164503344188
45,0.8329925043482334,0.0043566299339214964,0.0043566299339214964
46,0.8330223512287989,0.004257783610848165,0.004257783610848165
47,0.8329412970064368,0.004163318992866039,0.004163318992866039
48,0.8325162528517022,0.004072950951037768,0.004072950951037768
49,0.8327417416331134,0.003986430466664359,0.003986430466664359
50,0.832542445476342,0.003903495637704424,0.003903495637704424
51,0.8325444486667182,0.003823945320068134,0.003823945320068134
52,0.8323351424170845,0.0037475646362103987,0.0037475646362103987
53,0.8325394782176874,0.003674179726978366,0.003674179726978366
54,0.8317925285397416,0.003603599356928555,0.003603599356928555
55,0.8320689160845656,0.0035356972196716185,0.0035356972196716185
56,0.8320404872951793,0.003470293740196695,0.003470293740196695
57,0.8321984763839374,0.0034072629111747688,0.0034072629111747688
58,0.831793014928358,0.003346484478257139,0.003346484478257139
59,0.8314095467419934,0.003287825932460464,0.003287825932460464
60,0.8316615667248531,0.0032312092568567152,0.0032312092568567152
61,0.8322053372958191,0.0031764873256605597,0.0031764873256605597
62,0.831956919326044,0.0031236069678577394,0.0031236069678577394
63,0.8317733880037292,0.003072449685372902,0.003072449685372902
64,0.831728510128872,0.003022938192724922,0.003022938192724922
65,0.8316170031896526,0.002974997779475075,0.002974997779475075
66,0.8315013823455705,0.00292855117807278,0.00292855117807278
67,0.8317382885699242,0.0028835250316987526,0.0028835250316987526
68,0.8316466879823222,0.0028398710139931893,0.0028398710139931893
69,0.8310231285802336,0.0027975179926365,0.0027975179926365
70,0.8310669238691829,0.0027564094201295575,0.0027564094201295575
71,0.8317520919773558,0.002716491626454598,0.002716491626454598
72,0.8312822551022089,0.002677716467214708,0.002677716467214708
73,0.8310750938212843,0.0026400350383788407,0.0026400350383788407
74,0.8319895184573091,0.0026033773648919123,0.0026033773648919123
75,0.8310037691235234,0.0025677671473864905,0.0025677671473864905
76,0.8313286347984975,0.0025330836853498795,0.0025330836853498795
77,0.8308069896743538,0.0024993297430064843,0.0024993297430064843
78,0.8306811119000954,0.002466462964783034,0.002466462964783034
79,0.8317033264675513,0.002434422372587619,0.002434422372587619
80,0.8310842681456899,0.002403265051672321,0.002403265051672321
81,0.8307237938087904,0.002372870869066901,0.002372870869066901
82,0.8308500267698592,0.002343216833409656,0.002343216833409656
83,0.830893805220354,0.0023143113367787294,0.0023143113367787294
84,0.8310380268348283,0.0022860755608853367,0.0022860755608853367
85,0.8311773642161164,0.002258554557638348,0.002258554557638348
86,0.8307542803036229,0.002231679597322511,0.002231679597322511
87,0.8310504254103109,0.0022054501420889494,0.0022054501420889494
88,0.8304748494688318,0.00217980630905501,0.00217980630905501
89,0.8310263936002676,0.0021547787787739026,0.0021547787787739026
90,0.8310262472464349,0.002130308863417696,0.002130308863417696
91,0.8301821652060356,0.0021063784307067124,0.0021063784307067124
92,0.8307625352806272,0.0020829914747722,0.0020829914747722
93,0.8305753440430902,0.0020601004069220608,0.0020601004069220608
94,0.8308467655166745,0.0020377189330389456,0.0020377189330389456
95,0.8304327750127883,0.002015818092878874,0.002015818092878874
96,0.8306435588709759,0.001994388060502672,0.001994388060502672
97,0.8310500857665719,0.001973411650254775,0.001973411650254775
98,0.8299573584827385,0.0019528446467731442,0.0019528446467731442
99,0.8306507054502256,0.0019327451255080064,0.0019327451255080064
100,0.8307243398150964,0.001913019570380925,0.001913019570380925
101,0.83044010580835,0.0018937069344957536,0.0018937069344957536
102,0.8302035358034059,0.0018747701567036756,0.0018747701567036756
103,0.8310051648861501,0.0018562132353139305,0.0018562132353139305
104,0.8303008826362381,0.0018380441385801305,0.0018380441385801305
105,0.8306862760263493,0.0018202058187171133,0.0018202058187171133
106,0.8291280881114019,0.0018026441408522942,0.0018026441408522942
107,0.8307333536246483,0.0017855284755299294,0.0017855284755299294
108,0.8307738322971239,0.0017687014873573048,0.0017687014873573048
109,0.8304412838783949,0.0017521886974165568,0.0017521886974165568
110,0.8295905011443525,0.0017359546474366994,0.0017359546474366994
111,0.8302795376288512,0.0017200553206180302,0.0017200553206180302
112,0.830832117074207,0.0017043779913379353,0.0017043779913379353
113,0.82974595561259,0.0016890613113815789,0.0016890613113815789
114,0.8299796435895387,0.0016739849988667288,0.0016739849988667288
115,0.8291452819358825,0.0016591570856405724,0.0016591570856405724
116,0.8298982316196449,0.001644629288989563,0.001644629288989563
117,0.8299523011630564,0.001630346936458693,0.001630346936458693
118,0.8299213790169875,0.0016162974999573976,0.0016162974999573976
119,0.8303739314679508,0.0016024936679244206,0.0016024936679244206
120,0.828983949110985,0.001588876579951659,0.001588876579951659
121,0.8296157145280653,0.0015755620210740062,0.0015755620210740062
122,0.8307389244653195,0.001562435363958059,0.001562435363958059
123,0.8296157145280653,0.0015495274695709327,0.0015495274695709327
124,0.8293156949081553,0.0015368125078722983,0.0015368125078722983
125,0.8299178620197658,0.0015243268557725287,0.0015243268557725287
126,0.8296001268973482,0.001512010247601836,0.001512010247601836
127,0.8294581841224068,0.0014999634171601883,0.0014999634171601883
128,0.8303136260868832,0.0014880417565663606,0.0014880417565663606
129,0.8303658825882323,0.0014763434113120866,0.0014763434113120866
130,0.8293295826630549,0.0014647812465398147,0.0014647812465398147
131,0.8295147907473034,0.0014534341345893154,0.0014534341345893154
132,0.831026487306797,0.0014422392717676757,0.0014422392717676757
133,0.831026487306797,0.001431242062587046,0.001431242062587046
134,0.8303418463698549,0.001420411453054271,0.001420411453054271
135,0.8295752779656793,0.0014097568895294899,0.0014097568895294899
136,0.8299074351575251,0.0013992501266315571,0.0013992501266315571
137,0.829655748617358,0.0013888846031235857,0.0013888846031235857
138,0.8299324098296108,0.0013786903531567418,0.0013786903531567418
139,0.8299823489309242,0.0013685879699281145,0.0013685879699281145
140,0.8296060854621975,0.0013586823132243353,0.0013586823132243353
141,0.8303856871331289,0.001348953760356153,0.001348953760356153
142,0.8292770541509403,0.001339298143030021,0.001339298143030021
143,0.8307243398150964,0.0013298152848051359,0.0013298152848051359
144,0.8289834408187728,0.0013204104245261306,0.0013204104245261306
145,0.8324776966479145,0.001311113183675161,0.001311113183675161
146,0.82957922325695,0.0013021791731304688,0.0013021791731304688
147,0.8313286347984975,0.0012931847873929314,0.0012931847873929314
148,0.8301406944592746,0.0012843492988849903,0.0012843492988849903
149,0.8283422693123025,0.0012755964071118342,0.0012755964071118342
150,0.8281645051869476,0.001266934950344023,0.001266934950344023
151,0.831026560594646,0.001258494358239659,0.001258494358239659
152,0.8293086833897964,0.0012501648983160862,0.0012501648983160862
153,0.8309058930243068,0.0012418473198323454,0.0012418473198323454
154,0.8288496732951205,0.0012336781654838092,0.0012336781654838092
155,0.8293540035987507,0.0012256233382359483,0.0012256233382359483
156,0.8285475258034201,0.001217603805613976,0.001217603805613976
157,0.8314499444856552,0.0012097854455106472,0.0012097854455106472
158,0.8316102945231018,0.0012020190925667862,0.0012020190925667862
159,0.83038175576101,0.001194351839089336,0.001194351839089336
160,0.8303008826362381,0.001186882389063726,0.001186882389063726
161,0.8294524235244998,0.0011793643470170423,0.0011793643470170423
162,0.8277428641072875,0.001171911025195982,0.001171911025195982
163,0.8300399844816239,0.001164794235293698,0.001164794235293698
164,0.8303468900392953,0.0011575642515282425,0.0011575642515282425
165,0.8297425950558942,0.001150446486242629,0.001150446486242629
166,0.8296965876528372,0.0011434875925928623,0.0011434875925928623
167,0.8306946918997627,0.0011364934507085422,0.0011364934507085422
168,0.8292798965349277,0.0011297156712046785,0.0011297156712046785
169,0.8274389005163889,0.0011229011362203778,0.0011229011362203778
170,0.8304260264344465,0.001116267368587387,0.001116267368587387
171,0.8291922024030525,0.00110964568435179,0.00110964568435179
172,0.8300564719868379,0.001103151607217967,0.001103151607217967
173,0.8299188490634003,0.001096688446978078,0.001096688446978078
174,0.8295409127299509,0.0010903377752029542,0.0010903377752029542
175,0.8277410480080893,0.0010838475516337098,0.0010838475516337098
176,0.8274390325733935,0.0010776899708773158,0.0010776899708773158
177,0.8277544101484204,0.0010714935877800258,0.0010714935877800258
178,0.8290967515975038,0.0010654881319211995,0.0010654881319211995
179,0.8281071649306377,0.001059541947803666,0.001059541947803666
180,0.8288665113977315,0.0010535516725269645,0.0010535516725269645
181,0.8302604460738522,0.0010476757681985305,0.0010476757681985305
182,0.8296783700386626,0.0010418712211901493,0.0010418712211901493
183,0.8310293667568001,0.0010361157325107229,0.0010361157325107229
184,0.8312881982361114,0.0010303631589891893,0.0010303631589891893
185,0.8307852605096202,0.0010247731318600017,0.0010247731318600017
186,0.8281711129576754,0.0010191803997798843,0.0010191803997798843
187,0.8287222904449016,0.0010136948959882375,0.0010136948959882375
